started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:18:52.502000+00:00,2023-12-01 06:37:16.149000+00:00,1103,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2023-12-01 06:19:09.772000+00:00,2023-12-01 06:32:23.751000+00:00,793,117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2023-12-01 06:19:15.930000+00:00,2023-12-01 06:27:05.109000+00:00,469,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973
2023-12-01 06:19:26.449000+00:00,2023-12-01 06:24:40.958000+00:00,314,788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2023-12-01 06:19:53.214000+00:00,2023-12-01 06:25:59.815000+00:00,366,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2023-12-01 06:20:59.860000+00:00,2023-12-01 06:26:26.175000+00:00,326,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,1890,Christian Michelsens institutt,Nær Jekteviksbakken 31,60.38971028611195,5.314041873201262
2023-12-01 06:23:15.728000+00:00,2023-12-01 06:30:27.758000+00:00,432,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265,804,Stenersen,Til høyre for inngang,60.390174061139966,5.324792207669702
2023-12-01 06:23:23.198000+00:00,2023-12-01 06:28:05.013000+00:00,281,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2023-12-01 06:24:02.843000+00:00,2023-12-01 06:32:15.110000+00:00,492,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2023-12-01 06:24:33.954000+00:00,2023-12-01 06:33:11.112000+00:00,517,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248
2023-12-01 06:24:35.385000+00:00,2023-12-01 06:41:37.350000+00:00,1021,2346,Gamle Bergen,Utenfor nordre inngang til museet,60.41830821831951,5.309946203281243,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
2023-12-01 06:25:43.371000+00:00,2023-12-01 06:33:43.835000+00:00,480,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
2023-12-01 06:26:31.570000+00:00,2023-12-01 06:32:03.174000+00:00,331,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547
2023-12-01 06:26:37.333000+00:00,2023-12-01 06:37:18.315000+00:00,640,1816,Hansaparken,I gangtunell ved butikk,60.38604412210008,5.349253890141261,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2023-12-01 06:27:42.277000+00:00,2023-12-01 06:39:12.163000+00:00,689,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
